Numero de documentos (noticias) del corpus: 4329
Número de palabras del corpus: 1275054
Palabra: 0 Frec: 35079 LogProb: -3.59650204194527
Palabra: 00 Frec: 9455 LogProb: -4.90748374878551
Palabra: 000 Frec: 2485 LogProb: -6.243458216360733
Palabra: 0000 Frec: 268 LogProb: -8.467177108829551
Palabra: 00000 Frec: 72 LogProb: -9.771429047282998
Palabra: 000000 Frec: 62 LogProb: -9.918753762039858
Palabra: 000000000007876 Frec: 0 LogProb: -14.06188848843139
Palabra: 000000000013085 Frec: 0 LogProb: -14.06188848843139
Palabra: 00000action Frec: 0 LogProb: -14.06188848843139
Palabra: 00000so Frec: 0 LogProb: -14.06188848843139
Palabra: 0001 Frec: 11 LogProb: -11.57698183864339
Palabra: 00010 Frec: 4 LogProb: -12.45245057599729
Palabra: 000150 Frec: 0 LogProb: -14.06188848843139
Palabra: 0005 Frec: 5 LogProb: -12.270129019203335
Palabra: 000503 Frec: 0 LogProb: -14.06188848843139
Palabra: 0006 Frec: 6 LogProb: -12.115978339376076
Palabra: 00076 Frec: 1 LogProb: -13.368741307871444
Palabra: 000c Frec: 0 LogProb: -14.06188848843139
Palabra: 000does Frec: 0 LogProb: -14.06188848843139
Palabra: 000emails Frec: 0 LogProb: -14.06188848843139
Palabra: 000how Frec: 0 LogProb: -14.06188848843139
Palabra: 000i Frec: 0 LogProb: -14.06188848843139
Palabra: 000in Frec: 0 LogProb: -14.06188848843139
Palabra: 000miles Frec: 0 LogProb: -14.06188848843139
Palabra: 000night Frec: 0 LogProb: -14.06188848843139
Palabra: 000pa Frec: 0 LogProb: -14.06188848843139
Palabra: 000please Frec: 0 LogProb: -14.06188848843139
Palabra: 000s Frec: 1 LogProb: -13.368741307871444
Palabra: 000safe Frec: 0 LogProb: -14.06188848843139
Palabra: 000strong Frec: 0 LogProb: -14.06188848843139
Palabra: 001 Frec: 143 LogProb: -9.09207518885539
Palabra: 0011 Frec: 3 LogProb: -12.675594127311498
Palabra: 0012 Frec: 2 LogProb: -12.96327619976328
Palabra: 001227 Frec: 0 LogProb: -14.06188848843139
Palabra: 0013 Frec: 2 LogProb: -12.96327619976328
Palabra: 0014 Frec: 0 LogProb: -14.06188848843139
Palabra: 0015 Frec: 6 LogProb: -12.115978339376076
Palabra: 001804 Frec: 0 LogProb: -14.06188848843139
Palabra: 00193 Frec: 1 LogProb: -13.368741307871444
Palabra: 002 Frec: 219 LogProb: -8.668260942079028
Palabra: 00225 Frec: 3 LogProb: -12.675594127311498
Palabra: 0025 Frec: 2 LogProb: -12.96327619976328
