Numero de documentos (noticias) del corpus: 6132
Número de palabras del corpus: 6103616
Palabra: 0 Frec: 143558 LogProb: -3.7508947069260388
Palabra: 00 Frec: 32141 LogProb: -5.247477221325691
Palabra: 000 Frec: 8531 LogProb: -6.5738170068434645
Palabra: 0000 Frec: 185 LogProb: -10.399649412721505
Palabra: 00000 Frec: 77 LogProb: -11.268687259745114
Palabra: 000000 Frec: 37 LogProb: -11.987809926708321
Palabra: 000000000007876 Frec: 1 LogProb: -14.932248905874761
Palabra: 000000000013085 Frec: 1 LogProb: -14.932248905874761
Palabra: 00000action Frec: 0 LogProb: -15.625396086434707
Palabra: 00000so Frec: 0 LogProb: -15.625396086434707
Palabra: 0001 Frec: 94 LogProb: -11.071519194834165
Palabra: 00010 Frec: 21 LogProb: -12.53435363307639
Palabra: 000150 Frec: 0 LogProb: -15.625396086434707
Palabra: 0005 Frec: 29 LogProb: -12.22419870477255
Palabra: 000503 Frec: 0 LogProb: -15.625396086434707
Palabra: 0006 Frec: 33 LogProb: -12.099035561818544
Palabra: 00076 Frec: 0 LogProb: -15.625396086434707
Palabra: 000c Frec: 0 LogProb: -15.625396086434707
Palabra: 000does Frec: 0 LogProb: -15.625396086434707
Palabra: 000emails Frec: 0 LogProb: -15.625396086434707
Palabra: 000how Frec: 0 LogProb: -15.625396086434707
Palabra: 000i Frec: 0 LogProb: -15.625396086434707
Palabra: 000in Frec: 0 LogProb: -15.625396086434707
Palabra: 000miles Frec: 0 LogProb: -15.625396086434707
Palabra: 000night Frec: 0 LogProb: -15.625396086434707
Palabra: 000pa Frec: 0 LogProb: -15.625396086434707
Palabra: 000please Frec: 0 LogProb: -15.625396086434707
Palabra: 000s Frec: 4 LogProb: -14.015958174000605
Palabra: 000safe Frec: 0 LogProb: -15.625396086434707
Palabra: 000strong Frec: 0 LogProb: -15.625396086434707
Palabra: 001 Frec: 4511 LogProb: -7.210900293256811
Palabra: 0011 Frec: 92 LogProb: -11.09279659328145
Palabra: 0012 Frec: 4 LogProb: -14.015958174000605
Palabra: 001227 Frec: 0 LogProb: -15.625396086434707
Palabra: 0013 Frec: 15 LogProb: -12.852807364194925
Palabra: 0014 Frec: 35 LogProb: -12.041877147978596
Palabra: 0015 Frec: 3 LogProb: -14.239101725314816
Palabra: 001804 Frec: 0 LogProb: -15.625396086434707
Palabra: 00193 Frec: 0 LogProb: -15.625396086434707
Palabra: 002 Frec: 1170 LogProb: -8.559782722836989
Palabra: 00225 Frec: 0 LogProb: -15.625396086434707
Palabra: 0025 Frec: 12 LogProb: -13.060446728973169
Palabra: 0027 Frec: 29 LogProb: -12.22419870477255
Palabra: 003 Frec: 257 LogProb: -10.072436501513089
Palabra: 0034 Frec: 5 LogProb: -13.83363661720665
Palabra: 0036 Frec: 21 LogProb: -12.53435363307639
Palabra: 004750 Frec: 0 LogProb: -15.625396086434707
Palabra: 005 Frec: 378 LogProb: -9.68785988135228
Palabra: 0052 Frec: 0 LogProb: -15.625396086434707
Palabra: 00533 Frec: 3 LogProb: -14.239101725314816
Palabra: 005684 Frec: 0 LogProb: -15.625396086434707
Palabra: 0071 Frec: 25 LogProb: -12.367299548413223
Palabra: 00743 Frec: 0 LogProb: -15.625396086434707
Palabra: 0078mm Frec: 0 LogProb: -15.625396086434707
Palabra: 00923 Frec: 0 LogProb: -15.625396086434707
Palabra: 00safe Frec: 0 LogProb: -15.625396086434707
Palabra: 01 Frec: 9360 LogProb: -6.481088685062962
Palabra: 010 Frec: 306 LogProb: -9.898548338847508
Palabra: 0100 Frec: 60 LogProb: -11.514522222261395
Palabra: 01019 Frec: 0 LogProb: -15.625396086434707
Palabra: 0106 Frec: 31 LogProb: -12.15966018363498
Palabra: 011 Frec: 244 LogProb: -10.124137875889978
Palabra: 01128 Frec: 0 LogProb: -15.625396086434707
Palabra: 011428 Frec: 0 LogProb: -15.625396086434707
Palabra: 011641 Frec: 0 LogProb: -15.625396086434707
Palabra: 012 Frec: 155 LogProb: -10.575540079185169
Palabra: 012056 Frec: 0 LogProb: -15.625396086434707
Palabra: 013024 Frec: 0 LogProb: -15.625396086434707
Palabra: 0131 Frec: 21 LogProb: -12.53435363307639
Palabra: 013140 Frec: 0 LogProb: -15.625396086434707
Palabra: 013855 Frec: 0 LogProb: -15.625396086434707
Palabra: 013a Frec: 8 LogProb: -13.428171509098487
Palabra: 015 Frec: 131 LogProb: -10.742594163848334
Palabra: 0150 Frec: 3 LogProb: -14.239101725314816
Palabra: 016 Frec: 75 LogProb: -11.294662746148376
Palabra: 01689 Frec: 0 LogProb: -15.625396086434707
Palabra: 0180176345 Frec: 0 LogProb: -15.625396086434707
Palabra: 0184 Frec: 4 LogProb: -14.015958174000605
Palabra: 01843 Frec: 0 LogProb: -15.625396086434707
Palabra: 018micron Frec: 0 LogProb: -15.625396086434707
Palabra: 01989374546 Frec: 0 LogProb: -15.625396086434707
Palabra: 01bd8356 Frec: 14 LogProb: -12.917345885332496
Palabra: 02 Frec: 4176 LogProb: -7.288047521937531
